item_id,name,category_id,price,link
79135751,SÖDERHAMN,3,1295.0,https://www.ikea.com/sa/en/p/soederhamn-corner-section-finnsta-turquoise-s79135751/
10424621,KNOPPARP,3,345.0,https://www.ikea.com/sa/en/p/knopparp-2-seat-sofa-knisa-light-grey-10424621/
10469186,ANGERSBY,3,745.0,https://www.ikea.com/sa/en/p/angersby-2-seat-sofa-knisa-light-grey-10469186/
19129178,EKTORP,3,1075.0,https://www.ikea.com/sa/en/p/ektorp-two-seat-sofa-lofallet-beige-s19129178/
49129209,EKTORP,3,1750.0,https://www.ikea.com/sa/en/p/ektorp-three-seat-sofa-nordvalla-dark-beige-s49129209/
79135949,SÖDERHAMN,3,4935.0,https://www.ikea.com/sa/en/p/soederhamn-corner-sofa-6-seat-finnsta-turquoise-s79135949/
49303393,VIMLE,3,1400.0,https://www.ikea.com/sa/en/p/vimle-cover-for-corner-sofa-bed-4-seat-with-open-end-dalstorp-multicolour-s49303393/
39217838,SANDBACKEN,3,1327.0,https://www.ikea.com/sa/en/p/sandbacken-corner-sofa-3-seat-lofallet-beige-s39217838/
39216754,FRIHETEN,3,1846.0,https://www.ikea.com/sa/en/p/friheten-corner-sofa-bed-with-storage-skiftebo-dark-grey-s39216754/
9251777,KLIPPAN,3,995.0,https://www.ikea.com/sa/en/p/klippan-2-seat-sofa-kabusa-dark-grey-s09251777/
385314,SANDARED,3,245.0,https://www.ikea.com/sa/en/p/sandared-pouffe-beige-00385314/
90354327,HAMMARN,3,399.0,https://www.ikea.com/sa/en/p/hammarn-sofa-bed-knisa-dark-grey-black-90354327/
49282989,SÖDERHAMN,3,3120.0,https://www.ikea.com/sa/en/p/soederhamn-4-seat-sofa-with-chaise-longue-and-open-end-finnsta-turquoise-s49282989/
69217790,SANDBACKEN,3,1176.0,https://www.ikea.com/sa/en/p/sandbacken-3-seat-sofa-frillestad-light-grey-s69217790/
79254683,GRÖNLID,3,4585.0,https://www.ikea.com/sa/en/p/groenlid-corner-sofa-5-seat-inseros-white-s79254683/
69129798,STOCKSUND,3,2695.0,https://www.ikea.com/sa/en/p/stocksund-3-seat-sofa-ljungen-blue-black-wood-s69129798/
19325457,HÄSSELBY,3,1295.0,https://www.ikea.com/sa/en/p/haesselby-3-seat-sofa-knisa-grey-s19325457/
89135944,SÖDERHAMN,3,1995.0,https://www.ikea.com/sa/en/p/soederhamn-3-seat-sofa-finnsta-turquoise-s89135944/
79257498,EKTORP,3,3395.0,https://www.ikea.com/sa/en/p/ektorp-corner-sofa-4-seat-lingbo-multicolour-s79257498/
69240026,NORSBORG,3,3300.0,https://www.ikea.com/sa/en/p/norsborg-4-seat-sofa-edum-with-chaise-longue-edum-birch-beige-birch-s69240026/
20033919,ALSEDA,3,195.0,https://www.ikea.com/sa/en/p/alseda-stool-banana-fibre-20033919/
30451067,GAMLARP,3,2795.0,https://www.ikea.com/sa/en/p/gamlarp-3-seat-sofa-dark-grey-30451067/
80437489,GRYTTBY,3,206.5,https://www.ikea.com/sa/en/p/gryttby-cover-3-seat-sofa-knisa-dark-grey-80437489/
29284381,SÖDERHAMN,3,4190.0,https://www.ikea.com/sa/en/p/soederhamn-corner-sofa-4-seat-with-open-end-finnsta-turquoise-s29284381/
9217830,BRÅTHULT,3,1277.0,https://www.ikea.com/sa/en/p/brathult-corner-sofa-3-seat-vissle-red-orange-s09217830/
60431563,FRIHETEN,3,1845.0,https://www.ikea.com/sa/en/p/friheten-3-seat-sofa-bed-skiftebo-blue-60431563/
89254786,GRÖNLID,3,2195.0,https://www.ikea.com/sa/en/p/groenlid-3-seat-sofa-inseros-white-s89254786/
59270274,LANDSKRONA,3,1995.0,https://www.ikea.com/sa/en/p/landskrona-2-seat-sofa-gunnared-dark-grey-metal-s59270274/
29193692,KIVIK,3,6545.0,https://www.ikea.com/sa/en/p/kivik-corner-sofa-6-seat-with-chaise-longue-hillared-hillared-dark-blue-s29193692/
60116960,LYCKSELE,3,100.0,https://www.ikea.com/sa/en/p/lycksele-storage-box-2-seat-sofa-bed-black-60116960/
50360009,STRANDMON,3,300.0,https://www.ikea.com/sa/en/p/strandmon-footstool-djuparp-dark-green-50360009/
59307649,GRÖNLID,3,3590.0,https://www.ikea.com/sa/en/p/groenlid-4-seat-sofa-with-chaise-longue-inseros-white-s59307649/
89135939,SÖDERHAMN,3,1645.0,https://www.ikea.com/sa/en/p/soederhamn-3-seat-section-finnsta-turquoise-s89135939/
70284203,ASKEBY,3,995.0,https://www.ikea.com/sa/en/p/askeby-two-seat-sofa-bed-black-70284203/
59217804,BRÅTHULT,3,1176.0,https://www.ikea.com/sa/en/p/brathult-3-seat-sofa-borred-grey-green-s59217804/
89239786,NORSBORG,3,4580.0,https://www.ikea.com/sa/en/p/norsborg-corner-sofa-5-seat-edum-beige-birch-beige-s89239786/
69298772,VIMLE,3,2610.0,https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-dalstorp-multicolour-s69298772/
49240193,NORSBORG,3,2020.0,https://www.ikea.com/sa/en/p/norsborg-3-seat-sofa-edum-beige-birch-beige-s49240193/
9306416,NYHAMN,3,1470.0,https://www.ikea.com/sa/en/p/nyhamn-sofa-bed-with-triple-cushion-with-foam-mattress-skiftebo-yellow-s09306416/
79217902,SANDBACKEN,3,1841.0,https://www.ikea.com/sa/en/p/sandbacken-corner-sofa-bed-lofallet-beige-s79217902/
99239620,NORSBORG,3,380.0,https://www.ikea.com/sa/en/p/norsborg-cover-for-2-seat-sofa-edum-beige-s99239620/
19257509,EKTORP,3,2345.0,https://www.ikea.com/sa/en/p/ektorp-3-seat-sofa-with-chaise-longue-lingbo-multicolour-s19257509/
40266682,BOSNÄS,3,95.0,https://www.ikea.com/sa/en/p/bosnaes-footstool-with-storage-ransta-black-40266682/
89272667,LANDSKRONA,3,3795.0,https://www.ikea.com/sa/en/p/landskrona-3-seat-sofa-with-chaise-longue-gunnared-dark-grey-metal-s89272667/
79284958,VIMLE,3,3805.0,https://www.ikea.com/sa/en/p/vimle-4-seat-sofa-with-chaise-longue-gunnared-medium-grey-s79284958/
19254780,GRÖNLID,3,1795.0,https://www.ikea.com/sa/en/p/groenlid-2-seat-sofa-inseros-white-s19254780/
49151276,SÖDERHAMN,3,1174.0,https://www.ikea.com/sa/en/p/soederhamn-armchair-samsta-light-pink-s49151276/
20424362,FYRESDAL,3,549.0,https://www.ikea.com/sa/en/p/fyresdal-day-bed-frame-black-20424362/
19239817,NORSBORG,3,1660.0,https://www.ikea.com/sa/en/p/norsborg-2-seat-sofa-edum-beige-beige-birch-s19239817/
20403374,EKTORP,3,395.0,https://www.ikea.com/sa/en/p/ektorp-cover-three-seat-sofa-lingbo-multicolour-20403374/
10434309,GAMLEHULT,3,325.0,https://www.ikea.com/sa/en/p/gamlehult-footstool-with-storage-rattan-anthracite-10434309/
19282962,SÖDERHAMN,3,1990.0,https://www.ikea.com/sa/en/p/soederhamn-2-seat-sofa-with-chaise-longue-samsta-dark-grey-s19282962/
59284351,SÖDERHAMN,3,3845.0,https://www.ikea.com/sa/en/p/soederhamn-4-seat-sofa-with-chaise-longue-finnsta-turquoise-s59284351/
39270326,LANDSKRONA,3,2495.0,https://www.ikea.com/sa/en/p/landskrona-3-seat-sofa-gunnared-light-green-wood-s39270326/
89300750,FLOTTEBO,3,2236.0,https://www.ikea.com/sa/en/p/flottebo-sofa-bed-with-side-table-gunnared-medium-grey-s89300750/
80328292,SÖDERHAMN,3,27.0,https://www.ikea.com/sa/en/p/soederhamn-cover-for-armrest-samsta-light-pink-80328292/
69192657,FÄRLÖV,3,2595.0,https://www.ikea.com/sa/en/p/faerloev-3-seat-sofa-djuparp-yellow-beige-s69192657/
79150751,HOLMSUND,3,2995.0,https://www.ikea.com/sa/en/p/holmsund-corner-sofa-bed-nordvalla-beige-s79150751/
90349326,HEMNES,3,1495.0,https://www.ikea.com/sa/en/p/hemnes-day-bed-frame-with-3-drawers-white-90349326/
70451065,GAMLARP,3,2395.0,https://www.ikea.com/sa/en/p/gamlarp-2-seat-sofa-dark-grey-70451065/
70340567,GRÄLVIKEN,3,1995.0,https://www.ikea.com/sa/en/p/graelviken-3-seat-sofa-bed-grey-70340567/
9193754,KIVIK,3,2195.0,https://www.ikea.com/sa/en/p/kivik-three-seat-sofa-hillared-dark-blue-s09193754/
89305535,KIVIK,3,5145.0,https://www.ikea.com/sa/en/p/kivik-corner-sofa-5-seat-skiftebo-dark-grey-s89305535/
9256256,GRÖNLID,3,5990.0,https://www.ikea.com/sa/en/p/groenlid-corner-sofa-5-seat-with-chaise-longue-ljungen-light-green-s09256256/
29254647,GRÖNLID,3,1395.0,https://www.ikea.com/sa/en/p/groenlid-2-seat-section-inseros-white-s29254647/
9270295,LANDSKRONA,3,3495.0,https://www.ikea.com/sa/en/p/landskrona-3-seat-sofa-grann-bomstad-golden-brown-metal-s09270295/
40399314,KLIPPAN,3,1295.0,https://www.ikea.com/sa/en/p/klippan-2-seat-sofa-bomstad-black-40399314/
29257504,EKTORP,3,395.0,https://www.ikea.com/sa/en/p/ektorp-footstool-lingbo-multicolour-s29257504/
9149879,VALLENTUNA,3,1160.0,https://www.ikea.com/sa/en/p/vallentuna-sofa-bed-module-hillared-dark-grey-s09149879/
59256414,GRÖNLID,3,4545.0,https://www.ikea.com/sa/en/p/groenlid-corner-sofa-4-seat-ljungen-dark-red-s59256414/
99135934,SÖDERHAMN,3,745.0,https://www.ikea.com/sa/en/p/soederhamn-footstool-finnsta-turquoise-s99135934/
99295593,VIMLE,3,3535.0,https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-with-chaise-longue-with-headrest-gunnared-medium-grey-s99295593/
99299708,VIMLE,3,5530.0,https://www.ikea.com/sa/en/p/vimle-corner-sofa-5-seat-dalstorp-multicolour-s99299708/
69254792,GRÖNLID,3,3190.0,https://www.ikea.com/sa/en/p/groenlid-3-seat-sofa-with-chaise-longue-inseros-white-s69254792/
90413478,STOCKSUND,3,345.0,https://www.ikea.com/sa/en/p/stocksund-cover-for-armchair-segersta-multicolour-90413478/
9289346,DELAKTIG,3,3275.0,https://www.ikea.com/sa/en/p/delaktig-2-seat-sofa-gunnared-light-brown-pink-s09289346/
59254641,GRÖNLID,3,745.0,https://www.ikea.com/sa/en/p/groenlid-1-seat-section-inseros-white-s59254641/
80245051,STOCKHOLM,3,6680.0,https://www.ikea.com/sa/en/p/stockholm-three-seat-sofa-seglora-natural-80245051/
